Model,Target_Mean,Calculated_Mean,Std_Dev,Model_Size_MB,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Avg_Precision,Avg_Recall,Avg_F1_Score
Bert + DeiT,0.8968,0.8968,0.0183613068202504,771.3,0.8800185948494599,0.9253523391608742,0.9050578870020122,0.8741351591248157,0.8994360198628386,0.8981,0.8824,0.8971
Bert + MobileViT,0.8034,0.8034000000000001,0.0205681813441237,462.5,0.813441473939626,0.8133836724206811,0.8310759730490884,0.7771949101434925,0.7819039704471117,0.8029,0.808,0.8084
Bert + ViT-Tiny,0.8837,0.8837000000000002,0.0145553152082551,463.5,0.887548807238159,0.8762852174608227,0.9094621787840652,0.878905393581153,0.866298402935801,0.8876,0.8984,0.8914
DistilBert + Beit,0.9388,0.9388,0.0141387932409071,869.8,0.9627699222466704,0.937398546205549,0.941798113783166,0.9194139679196452,0.9326194498449694,0.9564,0.9544,0.9651
DistilBert + DeiT,0.9953555413196667,0.995355541319667,0.0016096473486301,853.3,0.996622332334244,0.9928365838328472,0.9974166586201512,0.994487648495358,0.9954144833157345,0.9827,0.9816,0.9867
DistilBert + MobileViT,0.9098334401024984,0.9098334401024986,0.0155707456123823,538.4,0.8978021159269908,0.9346118878780658,0.9066252567393628,0.8909620511760932,0.9191658887919796,0.9102,0.9157,0.909
DistilBert + ViT-Tiny,0.9841,0.9841,0.0069837223159507,539.0,0.9808980107872324,0.9923356687470388,0.9749873989959624,0.9800392715958132,0.9922396498739536,0.9663,0.998,0.9757
MobileBert + Beit,0.5038,0.5038,0.0054380027496355,449.2,0.5091678353351535,0.5013897631590158,0.5079644078871388,0.5061775442416772,0.4943004493770147,0.5148,0.4822,0.4961
MobileBert + DeiT,0.5076873798846893,0.5072979615782353,0.0119933461618936,428.1,0.53,0.4986118222134221,0.5029114366281111,0.4968812136877668,0.508085335361876,0.4882,0.5063,0.4964
MobileBert + MobileViT,0.5076873798846893,0.5076873798846893,0.00826257079735,116.2,0.5062228581362983,0.5015297278196749,0.5238252669147963,0.5049458996164626,0.5019131469362142,0.516,0.5161,0.5124
MobileBert + ViT-Tiny,0.5038,0.5038,0.0143074897554803,116.8,0.5051298043729913,0.4890589300456519,0.515509840276823,0.4864039867938521,0.522897438510682,0.5063,0.5066,0.5092
TinyBert + Beit,0.8608,0.8608,0.0201342522011886,409.2,0.838587867957729,0.8708028251863996,0.8812859060277767,0.8787929209432829,0.834530479884812,0.8855,0.8385,0.8543
TinyBert + DeiT,0.9258,0.9258,0.0079343251602952,386.7,0.9201635254577348,0.9297706625665566,0.9394348880023384,0.9176140975278236,0.9220168264455458,0.9209,0.9442,0.9372
TinyBert + MobileViT,0.8111,0.8111,0.0253751563596588,76.6,0.7844705549933594,0.7822237637414934,0.8324420749033651,0.8460349300577806,0.8103286763040017,0.7916,0.8247,0.8063
TinyBert + ViT-Tiny,0.9643,0.9643,0.0058546284236033,77.2,0.968137093038642,0.9630019180558868,0.9549478718186648,0.9629999946995732,0.9724131223872337,0.9768,0.9829,0.977
