model_name,fold,final_accuracy,final_loss,best_accuracy,best_loss,epochs_trained,training_time_seconds,model_size_mb,timestamp,learning_rate,batch_size,weight_decay,warmup_steps,accuracy,precision,recall,f1_score,ham_precision,ham_recall,ham_f1_score,ham_support,spam_precision,spam_recall,spam_f1_score,spam_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
Bert + Deit,1,0.617,0.658,0.617,0.658,3,1909,771.1698455810547,2025-09-07T11:52:40.284859,0.0005,40,0.01,183,0.617,0.6192,0.617,0.6167,0.6412053258584443,0.5811368688472531,0.6096951524237881,3149.0,0.5958946078431373,0.6551027281913102,0.6240975453232793,2969.0,0.6185499668507908,0.6181197985192817,0.6168963488735337,6118.0,0.6192165187666747,0.6170317097090553,0.616684479739674,6118.0,0.6627,0.6141,0.658,0.617
Bert + Deit,2,0.5119,0.6927,0.5119,0.6927,3,1844,771.1698455810547,2025-09-07T12:23:25.239372,0.0005,40,0.01,183,0.5119,0.2621,0.5119,0.3467,0.5119320039228507,1.0,0.6771891891891891,3132.0,0.0,0.0,0.0,2986.0,0.2559660019614253,0.5,0.33859459459459457,6118.0,0.26207437664046557,0.5119320039228507,0.346674818656512,6118.0,0.6933,0.5203,0.6927,0.5119
Bert + Deit,3,0.6394,0.6054,0.6394,0.6054,3,1854,771.1698455810547,2025-09-07T12:54:20.235624,0.0005,40,0.01,183,0.6394,0.6461,0.6394,0.6377,0.682545731707317,0.566055625790139,0.6188666205943331,3164.0,0.6070406410990269,0.7180094786729858,0.6578784119106699,2954.0,0.644793186403172,0.6420325522315624,0.6383725162525015,6118.0,0.6460890403609801,0.6394246485779667,0.6377029774999328,6118.0,0.6439,0.6277,0.6054,0.6394
Bert + Deit,4,0.6103,0.665,0.6103,0.665,3,1851,771.1698455810547,2025-09-07T13:25:12.268956,0.0005,40,0.01,183,0.6103,0.6132,0.6103,0.6108,0.6463374212794166,0.5968778696051423,0.6206238064926799,3267.0,0.5752982908739116,0.625745352507892,0.5994623655913978,2851.0,0.6108178560766642,0.6113116110565171,0.6100430860420388,6118.0,0.6132330471725035,0.610330173259235,0.6107625335260969,6118.0,0.6652,0.6158,0.665,0.6103
Bert + Deit,5,0.6647,0.5953,0.6647,0.5953,3,1860,771.1698455810547,2025-09-07T13:56:13.067955,0.0005,40,0.01,183,0.6647,0.693,0.6647,0.6556,0.7691933916423712,0.5009493670886076,0.6067458796473745,3160.0,0.6116720019699582,0.8394727948631294,0.7076923076923076,2959.0,0.6904326968061647,0.6702110809758686,0.657219093669841,6119.0,0.6930198678573295,0.6646510867788854,0.6555611240639388,6119.0,0.6511,0.5953,0.5953,0.6647
Bert + Mobilevit,1,0.856,0.2852,0.856,0.2852,3,2184,462.2212371826172,2025-09-07T14:32:52.482250,0.0005,40,0.01,183,0.856,0.8569,0.856,0.8558,0.841566265060241,0.8872657986662432,0.8638120265883443,3149.0,0.8731236597569693,0.8228359717076457,0.8472342639153806,2969.0,0.8573449624086051,0.8550508851869445,0.8555231452518625,6118.0,0.8568807313653384,0.8559986923831318,0.8557670155755903,6118.0,0.2939,0.8489,0.2852,0.856
Bert + Mobilevit,2,0.8557,0.2864,0.8557,0.2864,3,2170,462.2212371826172,2025-09-07T15:09:03.006822,0.0005,40,0.01,183,0.8557,0.8563,0.8557,0.8555,0.8433587786259542,0.8818646232439336,0.8621819884501326,3132.0,0.8698557861413999,0.8281982585398526,0.8485160404872191,2986.0,0.856607282383677,0.8550314408918931,0.8553490144686758,6118.0,0.856291119986059,0.8556717881660674,0.8555120766133787,6118.0,0.2924,0.8542,0.2864,0.8557
Bert + Mobilevit,3,0.85,0.2865,0.85,0.2865,3,2165,462.2212371826172,2025-09-07T15:45:08.536378,0.0005,40,0.01,183,0.85,0.8527,0.85,0.8499,0.8853809196980096,0.8154235145385588,0.8489634748272459,3164.0,0.8177278401997503,0.8869329722410291,0.8509256252029879,2954.0,0.85155437994888,0.8511782433897939,0.8499445500151168,6118.0,0.8527154739906122,0.8499509643674403,0.8499108746654187,6118.0,0.2958,0.8503,0.2865,0.85
Bert + Mobilevit,4,0.8491,0.2932,0.8491,0.2932,3,2167,462.2212371826172,2025-09-07T16:21:15.913665,0.0005,40,0.01,183,0.8491,0.8554,0.8491,0.8492,0.9041379310344828,0.8025711662075299,0.8503324144640831,3267.0,0.7995649471721566,0.9024903542616626,0.8479156368429724,2851.0,0.8518514391033197,0.8525307602345962,0.8491240256535277,6118.0,0.8554067154425422,0.8491337038247794,0.8492061913523168,6118.0,0.2927,0.8475,0.2932,0.8491
Bert + Mobilevit,5,0.8562,0.2841,0.8562,0.2841,3,2167,462.2212371826172,2025-09-07T16:57:23.471666,0.0005,40,0.01,183,0.8562,0.8565,0.8562,0.8562,0.8689320388349514,0.8496835443037974,0.8592,3160.0,0.8431825685044569,0.863129435620142,0.8530394121576487,2959.0,0.8560573036697041,0.8564064899619697,0.8561197060788244,6119.0,0.8564802194677456,0.8561856512502043,0.856220889128041,6119.0,0.2951,0.8502,0.2841,0.8562
